trade_date,open,high,low,close,vol,amount,ts_code,pre_close,change,pct_chg
2024-11-04,136.079,136.1,136.018,136.077,1487934.0,202478306.122,511010.SH,,,
2024-11-05,136.062,136.115,136.014,136.065,2274346.0,309446791.2,511010.SH,136.077,-0.012000000000000455,-0.0088
2024-11-06,136.07,136.185,136.07,136.116,1023379.0,139311497.7,511010.SH,136.065,0.051000000000016144,0.0375
2024-11-07,136.143,136.264,136.143,136.233,2056808.0,280148422.04,511010.SH,136.116,0.11699999999999022,0.086
2024-11-08,136.117,136.288,136.117,136.285,4577637.0,623820729.1,511010.SH,136.233,0.0519999999999925,0.0382
2024-11-11,136.308,136.341,136.261,136.323,1307919.0,178281047.3,511010.SH,136.285,0.038000000000010914,0.0279
2024-11-12,136.347,136.529,136.347,136.51,1840931.0,251271818.3,511010.SH,136.323,0.1869999999999834,0.1372
2024-11-13,136.506,136.528,136.46,136.509,2236839.0,305333618.5,511010.SH,136.51,-0.0010000000000047748,-0.0007
2024-11-14,136.512,136.519,136.437,136.516,1762911.0,240601059.1,511010.SH,136.509,0.007000000000005002,0.0051
2024-11-15,136.521,136.7,136.521,136.612,1106342.0,151113900.4,511010.SH,136.516,0.09600000000000364,0.0703
2024-11-18,136.598,136.599,136.417,136.538,3810281.0,520176740.2,511010.SH,136.612,-0.07399999999998386,-0.0542
2024-11-19,136.536,136.565,136.438,136.508,1057013.0,144314269.5,511010.SH,136.538,-0.030000000000001137,-0.022
2024-11-20,136.553,136.611,136.551,136.601,1632148.0,222917818.4,511010.SH,136.508,0.09299999999998931,0.0681
2024-11-21,136.616,136.69,136.602,136.687,3424309.0,467966528.4,511010.SH,136.601,0.08600000000001273,0.063
2024-11-22,136.73,136.736,136.665,136.712,3838105.0,524686907.0,511010.SH,136.687,0.024999999999977263,0.0183
2024-11-25,136.712,136.824,136.621,136.823,1413427.0,193324700.1,511010.SH,136.712,0.11100000000001842,0.0812
2024-11-26,136.823,136.872,136.745,136.796,3209360.0,438998862.7,511010.SH,136.823,-0.027000000000015234,-0.0197
2024-11-27,136.774,136.795,136.731,136.739,2429570.0,332261445.7,511010.SH,136.796,-0.05699999999998795,-0.0417
2024-11-28,136.738,136.84,136.738,136.835,3023764.0,413599030.3,511010.SH,136.739,0.09600000000000364,0.0702
2024-11-29,136.877,136.918,136.811,136.91,2696702.0,369125331.7,511010.SH,136.835,0.07499999999998863,0.0548
2024-12-02,137.055,137.223,136.91,137.21,2438845.0,334502590.9,511010.SH,136.91,0.30000000000001137,0.2191
2024-12-03,137.244,137.292,137.173,137.183,3336454.0,457763394.3,511010.SH,137.21,-0.027000000000015234,-0.0197
2024-12-04,137.186,137.328,137.186,137.302,3412263.0,468453598.46,511010.SH,137.183,0.11899999999999977,0.0867
2024-12-05,137.299,137.354,137.186,137.331,2194033.0,301263805.8,511010.SH,137.302,0.028999999999996362,0.0211
2024-12-06,137.329,137.353,137.285,137.289,7825828.0,1074468242.1,511010.SH,137.331,-0.04200000000000159,-0.0306
2024-12-09,137.29,137.338,137.289,137.301,2494799.0,342553708.3,511010.SH,137.289,0.012000000000000455,0.0087
